SCATS Number,Location,CD_MELWAY,NB_LATITUDE,NB_LONGITUDE,datetime,Flow (Veh/hr)
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 11:00,1460
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 12:00,1486
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 13:00,1417
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 14:00,1230
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 15:00,1121
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 16:00,1089
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 17:00,1114
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 18:00,1076
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 19:00,826
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 20:00,575
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 21:00,537
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 22:00,503
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 23:00,472
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 0:00,348
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 1:00,190
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 2:00,100
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 3:00,63
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 4:00,58
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 5:00,79
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 6:00,273
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 7:00,348
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 8:00,483
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 9:00,872
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 10:00,1056
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 11:00,1279
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 12:00,1377
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 13:00,1243
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 14:00,1141
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 15:00,1154
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 16:00,1030
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 17:00,1046
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 18:00,763
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 19:00,616
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 20:00,490
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 21:00,429
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 22:00,322
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,8/10/2006 23:00,203
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 0:00,86
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 1:00,51
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 2:00,30
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 3:00,18
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 4:00,50
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,9/10/2006 5:00,177
